dia,hora,intervalo,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo
01/01/2026,00:15,[00:00-00:15[,2610.5,2087.7,0.0,340.2,0.0,622.4,106.2,0.0,29.7,134.1,0.0,0.0,0.0,0.1,5916.8
01/01/2026,00:30,[00:15-00:30[,2413.7,2137.6,0.0,339.2,0.0,645.2,104.7,0.0,29.5,197.8,0.0,0.0,0.0,0.1,5852.3
01/01/2026,00:45,[00:30-00:45[,2478.4,2177.2,0.0,335.1,0.0,626.0,102.7,0.0,29.3,68.1,0.0,0.0,0.0,0.1,5803.2
01/01/2026,01:00,[00:45-01:00[,2471.6,2207.4,0.0,339.4,0.0,635.6,102.9,0.0,29.9,0.0,21.3,0.0,0.0,0.1,5751.8
01/01/2026,01:15,[01:00-01:15[,2350.6,2203.4,0.0,339.9,0.0,667.2,103.2,0.0,30.0,47.8,0.0,0.0,0.1,0.1,5728.3
01/01/2026,01:30,[01:15-01:30[,2355.4,2233.0,0.1,339.6,0.0,665.2,104.7,0.0,28.7,0.0,40.6,0.5,0.9,0.0,5671.9
01/01/2026,01:45,[01:30-01:45[,2504.4,2297.6,0.0,340.8,0.0,530.0,105.0,0.0,27.8,0.0,203.5,0.0,0.9,0.0,5588.8
01/01/2026,02:00,[01:45-02:00[,2233.2,2278.3,0.0,336.9,0.0,512.0,104.5,0.0,27.7,0.0,9.8,0.0,0.1,0.1,5470.5
01/01/2026,02:15,[02:00-02:15[,1827.7,2274.9,0.0,340.2,0.0,542.8,104.7,0.0,29.2,247.0,0.0,0.0,0.0,0.0,5354.2
01/01/2026,02:30,[02:15-02:30[,1701.8,2312.2,0.0,341.9,0.0,501.2,104.9,0.0,28.8,313.9,0.0,33.8,0.0,0.1,5254.7
01/01/2026,02:45,[02:30-02:45[,1614.9,2319.5,0.0,345.1,0.0,484.4,104.8,0.0,30.1,592.4,0.0,312.2,0.0,0.1,5162.9
01/01/2026,03:00,[02:45-03:00[,1586.6,2323.6,0.0,340.8,0.0,527.6,102.7,0.0,28.8,840.6,0.0,664.8,0.0,0.1,5068.9
01/01/2026,03:15,[03:00-03:15[,1633.5,2304.0,0.0,339.9,0.0,508.8,103.2,0.0,27.8,729.4,0.0,627.1,0.0,0.1,5003.6
01/01/2026,03:30,[03:15-03:30[,1635.4,2285.8,0.0,339.7,0.0,522.4,102.6,0.0,28.1,945.3,0.0,928.5,0.0,0.1,4915.3
01/01/2026,03:45,[03:30-03:45[,1626.1,2326.0,0.1,341.4,0.0,494.0,102.2,0.0,29.1,892.3,0.0,952.4,0.0,0.1,4843.8
01/01/2026,04:00,[03:45-04:00[,1538.0,2366.1,0.1,343.5,0.0,474.0,102.7,0.0,29.3,868.6,0.0,918.4,0.0,0.1,4788.3
01/01/2026,04:15,[04:00-04:15[,1496.0,2373.2,0.0,340.6,0.0,402.0,102.4,0.0,28.3,925.5,0.0,920.6,0.0,0.0,4730.3
01/01/2026,04:30,[04:15-04:30[,1467.8,2402.2,0.0,341.7,0.0,487.2,103.3,0.0,29.3,1150.7,0.0,1290.1,0.0,0.1,4675.5
01/01/2026,04:45,[04:30-04:45[,1459.0,2388.5,0.0,339.0,0.0,534.0,104.1,0.0,29.7,1121.0,0.0,1323.7,0.0,0.0,4633.8
01/01/2026,05:00,[04:45-05:00[,1404.0,2354.4,0.0,330.1,0.0,575.6,104.7,0.0,29.6,1114.6,0.0,1301.7,0.0,0.1,4595.2
01/01/2026,05:15,[05:00-05:15[,1444.1,2338.9,0.0,333.5,0.0,598.4,105.1,0.0,28.9,1033.5,0.0,1290.6,0.0,0.0,4575.1
01/01/2026,05:30,[05:15-05:30[,1529.5,2327.9,0.0,332.7,0.0,558.0,105.4,0.0,27.3,904.3,0.0,1226.9,0.0,0.1,4542.4
01/01/2026,05:45,[05:30-05:45[,1568.7,2259.1,0.0,333.7,0.0,591.6,105.3,0.0,26.6,850.5,0.0,1190.7,0.0,0.1,4528.9
01/01/2026,06:00,[05:45-06:00[,1563.1,2224.4,0.0,339.2,0.0,535.6,105.8,0.0,29.0,730.2,0.0,1002.5,0.0,0.0,4510.0
01/01/2026,06:15,[06:00-06:15[,1728.7,2216.4,0.0,339.8,0.0,574.4,106.4,0.0,29.6,422.0,0.0,872.9,0.0,0.1,4531.1
01/01/2026,06:30,[06:15-06:30[,1937.5,2254.5,0.0,332.0,0.0,516.0,106.0,0.0,28.6,267.9,0.0,907.5,0.0,0.0,4522.0
01/01/2026,06:45,[06:30-06:45[,1991.7,2365.1,0.0,340.6,0.0,424.8,104.7,0.0,29.1,238.1,0.0,944.5,0.0,0.1,4536.1
01/01/2026,07:00,[06:45-07:00[,1680.6,2458.5,0.0,345.1,0.0,460.0,103.3,0.0,29.2,398.6,0.0,928.4,0.0,0.0,4533.3
01/01/2026,07:15,[07:00-07:15[,1660.4,2571.3,0.0,345.6,0.0,434.0,105.9,0.0,29.5,547.4,0.0,1116.4,0.0,0.1,4563.5
01/01/2026,07:30,[07:15-07:30[,1601.3,2660.4,0.0,343.2,0.0,459.2,109.6,0.0,30.4,533.2,0.0,1152.5,0.0,0.1,4568.9
01/01/2026,07:45,[07:30-07:45[,1492.6,2769.6,0.1,342.1,0.0,446.0,108.8,0.0,30.5,742.8,0.0,1362.8,0.0,1.1,4552.0
01/01/2026,08:00,[07:45-08:00[,1469.3,2832.0,0.2,338.8,0.0,418.8,109.0,0.0,29.5,889.7,0.0,1548.5,0.0,10.0,4511.6
01/01/2026,08:15,[08:00-08:15[,1483.5,2921.3,2.7,337.0,0.0,472.4,109.1,0.0,28.7,967.9,0.0,1761.0,0.0,1.1,4539.9
01/01/2026,08:30,[08:15-08:30[,1537.7,2984.8,14.0,338.9,0.0,497.2,108.5,0.0,28.7,987.3,0.0,1872.2,0.0,0.0,4603.2
01/01/2026,08:45,[08:30-08:45[,1480.8,3016.6,34.9,338.8,0.0,519.2,108.3,0.0,29.1,1098.4,0.0,1921.5,0.0,0.1,4682.5
01/01/2026,09:00,[08:45-09:00[,1490.0,3107.3,59.3,336.1,0.0,505.6,107.5,0.0,28.7,1153.5,0.0,1990.4,0.0,0.0,4775.9
01/01/2026,09:15,[09:00-09:15[,1253.9,3174.1,89.9,337.3,0.0,517.6,106.5,0.0,28.0,1382.7,0.0,1978.1,0.0,0.1,4888.9
01/01/2026,09:30,[09:15-09:30[,1225.8,3206.1,124.7,334.3,0.0,553.2,106.3,0.0,28.5,1417.9,0.0,1949.2,0.0,1.0,5022.6
01/01/2026,09:45,[09:30-09:45[,1142.1,3238.4,161.6,338.8,0.0,607.2,106.2,0.0,28.4,1507.3,0.0,1951.4,0.0,3.5,5152.4
01/01/2026,10:00,[09:45-10:00[,1167.4,3297.8,199.5,336.9,0.0,613.2,105.3,0.0,28.3,1628.5,0.0,2042.9,0.0,3.8,5307.9
01/01/2026,10:15,[10:00-10:15[,1312.4,3339.6,214.5,337.9,0.0,684.4,105.1,0.0,28.8,1487.2,0.0,2007.0,0.0,5.1,5475.1
01/01/2026,10:30,[10:15-10:30[,1367.5,3349.9,238.8,337.3,0.0,672.4,106.6,0.0,28.6,1603.4,0.0,2007.3,0.0,5.2,5671.6
01/01/2026,10:45,[10:30-10:45[,1370.9,3345.8,293.6,330.8,0.0,572.0,108.2,0.0,29.1,1725.2,0.0,1920.1,0.0,5.2,5830.4
